/OUT1 X,/OUT1 Y,/OUT2 X,/OUT2 Y,/OUT0 X,/OUT0 Y,/OUT2' X,/OUT2' Y,/OUT1' X,/OUT1' Y,/OUT0' X,/OUT0' Y,/I0/VQ X,/I0/VQ Y,/OUT3 X,/OUT3 Y
0,5.634197955108119e-07,0,5.634197355278852e-07,0,0.0724886363308023,0,1.799999998063492,0,1.799999998063492,0,0.0724886363308023,0,0.8999999999954411,0,5.092951593255325e-07
1e-08,1.395538863995826,1e-08,-0.001569790216953952,1e-08,-0.008913333820394172,1e-08,1.799831617436036,1e-08,-0.01391742092459777,1e-08,1.845004094869112,1e-08,0.8999897117142659,1e-08,-1.544271476470253e-05
2e-08,1.83154317728945,2e-08,1.799937395945401,2e-08,0.002167162403277623,2e-08,-1.365375976445499e-07,2e-08,0.0001353556277204394,2e-08,1.739777682901265,2e-08,0.9091683173840567,2e-08,1.587251572754371e-05
3e-08,1.805646808728533,3e-08,0.0003015570577334951,3e-08,1.232062009715934,3e-08,1.799997444577587,3e-08,0.0004350551527215984,3e-08,0.5877862107448051,3e-08,0.922767694394043,3e-08,1.79994336804154
4e-08,1.797511322998355,4e-08,1.79976547139113,4e-08,1.791398425676385,4e-08,1.711601025874428e-06,4e-08,0.000250925610773624,4e-08,-0.001610105249779736,4e-08,0.9335180634630686,4e-08,1.799902731945809
5e-08,1.785932511513266,5e-08,0.001138764555742702,5e-08,1.471326537375366,5e-08,1.799679775786362,5e-08,0.08200870726024034,5e-08,0.09768049475814583,5e-08,0.9455327505925177,5e-08,0.0002340364965286433
5.999999999999999e-08,1.511884922756881,5.999999999999999e-08,1.792244109269619,5.999999999999999e-08,-0.0290600761867044,5.999999999999999e-08,0.005141555143564533,5.999999999999999e-08,1.603943969224046,5.999999999999999e-08,1.858874444920068,5.999999999999999e-08,0.9605318861665811,5.999999999999999e-08,0.0002555141882092121
6.999999999999999e-08,0.4916601216605904,6.999999999999999e-08,0.001660928720002543,6.999999999999999e-08,0.0009683956658212288,6.999999999999999e-08,1.667102185722,6.999999999999999e-08,1.825989415018698,6.999999999999999e-08,1.771609167136253,6.999999999999999e-08,0.9762108682145132,6.999999999999999e-08,0.3937534485711358
7.999999999999999e-08,-0.01030282611600561,7.999999999999999e-08,1.154711600270848,7.999999999999999e-08,0.1824788719815495,7.999999999999999e-08,1.838615133412661,7.999999999999999e-08,1.797126135870571,7.999999999999999e-08,1.416191095913953,7.999999999999999e-08,0.9913379917762316,7.999999999999999e-08,1.797410458988541
8.999999999999999e-08,0.006549603963733767,8.999999999999999e-08,1.112242957223798,8.999999999999999e-08,1.772289425827227,8.999999999999999e-08,-0.01840810498842642,8.999999999999999e-08,1.740911116680584,8.999999999999999e-08,0.07468455481257585,8.999999999999999e-08,1.005515254881937,8.999999999999999e-08,1.840877645679513
9.999999999999998e-08,0.02705500619658583,9.999999999999998e-08,-0.01367058699381253,9.999999999999998e-08,1.799536654363408,9.999999999999998e-08,1.799853499851616,9.999999999999998e-08,1.501283161881844,9.999999999999998e-08,-0.003701239660367756,9.999999999999998e-08,1.021199131441531,9.999999999999998e-08,0.0001060084539414474
1.1e-07,0.3561023977027324,1.1e-07,1.830644748199123,1.1e-07,1.731976846923013,1.1e-07,-0.000240608631590142,1.1e-07,0.5830196513019047,1.1e-07,0.003162478937609892,1.1e-07,1.03758815614725,1.1e-07,-8.934610386086256e-05
1.2e-07,0.5995269393599991,1.2e-07,0.001552480898047659,1.2e-07,1.461870959956194,1.2e-07,1.800184200613362,1.2e-07,0.1933009966313461,1.2e-07,0.1340556348930198,1.2e-07,1.053950388798349,1.2e-07,1.799942953038182
1.3e-07,0.9706487549233034,1.3e-07,1.818527373386645,1.3e-07,0.8072108498736873,1.3e-07,0.0004192449152320697,1.3e-07,-0.001634891803269776,1.3e-07,1.024607995763362,1.3e-07,1.067878891577084,1.3e-07,1.800057143023793
1.4e-07,1.270307425419279,1.4e-07,-0.002172549017034732,1.4e-07,0.1253769335938607,1.4e-07,1.799809232688698,1.4e-07,-0.0178699592394431,1.4e-07,1.741213360445623,1.4e-07,1.08337626191314,1.4e-07,-8.445721580993799e-06
1.5e-07,1.55203763323011,1.5e-07,1.797916945176943,1.5e-07,-0.0367437129216272,1.5e-07,-2.855550337284586e-05,1.5e-07,-0.009523270877164652,1.5e-07,1.863286331047602,1.5e-07,1.099305463345412,1.5e-07,1.258832536476768e-05
1.6e-07,1.657114721006771,1.6e-07,-0.0003435895824200389,1.6e-07,-0.02150898985774127,1.6e-07,1.799929369915048,1.6e-07,-0.006011823906672527,1.6e-07,1.834681115908734,1.6e-07,1.115825745903754,1.6e-07,1.799772972172103
1.7e-07,1.728284891943416,1.7e-07,1.799001135254366,1.7e-07,-0.01252396339325837,1.7e-07,-3.384436685363389e-05,1.7e-07,-0.003905444638665673,1.7e-07,1.81909556361414,1.7e-07,1.126678657135446,1.7e-07,1.799954594647667
1.800000000000001e-07,1.740413250731221,1.800000000000001e-07,-0.0001768372980061616,1.800000000000001e-07,-0.008124740884792514,1.800000000000001e-07,1.799945340164762,1.800000000000001e-07,-0.003415464663384457,1.800000000000001e-07,1.811018810412154,1.800000000000001e-07,1.115356934958835,1.800000000000001e-07,3.789797667786384e-06
1.900000000000001e-07,1.811449988349264,1.900000000000001e-07,1.799746158967455,1.900000000000001e-07,-0.0005986097343632021,1.900000000000001e-07,-7.27940230240656e-06,1.900000000000001e-07,-0.0009891041880601345,1.900000000000001e-07,1.785541520907067,1.900000000000001e-07,1.061564120096551,1.900000000000001e-07,1.061733024664549e-05
2.000000000000001e-07,1.830306387845885,2.000000000000001e-07,0.0001419463665108971,2.000000000000001e-07,0.007167773813590553,2.000000000000001e-07,1.79999349600082,2.000000000000001e-07,0.0001910957430505181,2.000000000000001e-07,1.691308129635715,2.000000000000001e-07,1.014244787333987,2.000000000000001e-07,1.799958120300938
2.100000000000001e-07,1.811543473223211,2.100000000000001e-07,1.800005943011587,2.100000000000001e-07,0.9738414661779129,2.100000000000001e-07,5.41172832607148e-06,2.100000000000001e-07,0.0005336898134999863,2.100000000000001e-07,0.8178652752886633,2.100000000000001e-07,0.9629843402774509,2.100000000000001e-07,1.799953317410822
2.200000000000001e-07,1.799169660679675,2.200000000000001e-07,0.0004993068833194762,2.200000000000001e-07,1.811278598826159,2.200000000000001e-07,1.799975091066021,2.200000000000001e-07,0.0002098132015948837,2.200000000000001e-07,-0.007876493176437212,2.200000000000001e-07,0.9335104351217532,2.200000000000001e-07,1.618188535590254e-05
